course,courseLetter,courseNumber,relatedTo,relatedToCourseLetter,relatedToCourseNumber,How,,courseDictionary,courseLetter,courseNumber
AME 105,AME,105,MUH 105,MUH,105,CrossList,,AME 105,AME,105
AME 105,AME,105,Cultural Perspectives,,,GenEd,,AME 121,AME,121
AME 105,AME,105,Fine Arts,,,GenEd,,AME 122,AME,122
AME 105,AME,105,Humanities,,,GenEd,,AME 205,AME,205
AME 121,AME,121,American Studies Minor,,,Checksheet,,AME 264,AME,264
AME 121,AME,121,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,AME 265,AME,265
AME 121,AME,121,ANT 121,ANT,121,CrossList,,AME 289,AME,289
AME 121,AME,121,Cultural Perspectives,,,GenEd,,AME 302,AME,302
AME 121,AME,121,Humanities,,,GenEd,,AME 303,AME,303
AME 121,AME,121,Social Science,,,GenEd,,AME 305,AME,305
AME 121,AME,121,ANT 308,ANT,308,Prereq,,AME 306,AME,306
AME 121,AME,121,HUM 308,HUM,308,Prereq,,AME 318,AME,318
AME 122,AME,122,American Studies Minor,,,Checksheet,,AME 335,AME,335
AME 122,AME,122,"Elementary Education, BS",,,Checksheet,,AME 340,AME,340
AME 122,AME,122,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,AME 345,AME,345
AME 122,AME,122,ANT 122,ANT,122,CrossList,,AME 389,AME,389
AME 122,AME,122,Cultural Perspectives,,,GenEd,,AME 420,AME,420
AME 122,AME,122,Humanities,,,GenEd,,AME 430,AME,430
AME 122,AME,122,Social Science,,,GenEd,,AME 440,AME,440
AME 122,AME,122,ANT 308,ANT,308,Prereq,,AME 476,AME,476
AME 122,AME,122,HUM 308,HUM,308,Prereq,,AME 494,AME,494
AME 201W,AME,201W,American Studies Minor,,,Checksheet,,AME 496,AME,496
AME 201W,AME,201W,"Community Policing, AS",,,Checksheet,,AME 201W,AME,201W
AME 201W,AME,201W,Embodied Social Justice Minor,,,Checksheet,,AME 304W,AME,304W
AME 201W,AME,201W,"Holocaust, Genocide & Human Rights Studies Minor",,,Checksheet,,AME 308W,AME,308W
AME 201W,AME,201W,"Justice Studies, BS",,,Checksheet,,AME 370W,AME,370W
AME 201W,AME,201W,Critical Thinking,,,GenEd,,AME 458W,AME,458W
AME 201W,AME,201W,Cultural Perspectives,,,GenEd,,ANT 101,ANT,101
AME 201W,AME,201W,Humanities,,,GenEd,,ANT 121,ANT,121
